date,AM_PM,helper
2024-02-07,AM,JB_parents
2024-02-07,PM,MIL
2024-02-08,AM,JB_parents
2024-02-08,PM,NULL
2024-02-09,AM,NULL
2024-02-09,PM,NULL
2024-02-10,AM,family
2024-02-10,PM,NULL
2024-02-11,AM,NULL
2024-02-11,PM,AK_parents
2024-02-12,AM,AK_parents
2024-02-12,PM,AK_parents
2024-02-13,AM,NULL
2024-02-13,PM,NULL
2024-02-14,AM,NULL
2024-02-14,PM,MIL
2024-02-15,AM,NULL
2024-02-15,PM,NULL
2024-02-16,AM,AK_parents
2024-02-16,PM,AK_parents
2024-02-17,AM,AK_parents
2024-02-17,PM,AK_parents
2024-02-18,AM,AK_parents
2024-02-18,PM,MIL
2024-02-19,AM,MIL
2024-02-19,PM,NULL
